technology,marginal_cost,carbon_intensity,inv_cost_per_mw,existing_cap_mw,ramp_rate
Coal,28.548,2300.0,4790826,0,0.57
Nuclear,10.2524,0.0,8750300,13144,0.25
NGCC,23.2424,970.0,1426275,5470,1.00
NGCT,37.4648,1300.0,766338,5000,1.00
NGCC with CCS,27.4428,48.5,2966581,0,0.64
Hydro,0.0,0.0,9999999999999999,8748,0.50
Onshore Wind,0.0,0.0,902500,4883,1.00
Solar,0.0,0.0,741340,648,1.00
